id,name,host_id,neighbourhood,latitude,longitude,room_type,minimum_nights,number_of_reviews,last_review,reviews_per_month,availability_365,y
1,KiyosumiShirakawa 3min|★SkyTree★|WIFI|Max4|Tree102,242899459,Koto Ku,35.68185,139.8031,Entire home/apt,1,55,2020-04-25,2.21,173,12008
2,Downtown Tokyo Iriya next to Ueno,308879948,Taito Ku,35.72063,139.78536,Entire home/apt,6,72,2020-03-25,2.11,9,6667
3,"Japan Style,Private,Affordable,4min to Sta.",300877823,Katsushika Ku,35.74723,139.82349,Entire home/apt,1,18,2020-03-23,3.46,288,9923
4,4 min to Shinjuku Sta. by train / 2 ppl / Wi-fi,236935461,Shibuya Ku,35.68456,139.68077,Entire home/apt,1,2,2020-04-02,1.76,87,8109
5,LICENSED SHINJUKU HOUSE: Heart of the action!,243408889,Shinjuku Ku,35.6984,139.70467,Entire home/apt,1,86,2020-01-30,2.0,156,100390
6,"Quiet residential Shinjuku area,8 min on foot Sta",247956261,Shinjuku Ku,35.71273,139.69687,Entire home/apt,2,30,2020-03-29,5.2,335,8404
7,5mins walk to sta. /FamilyMat /double room liuqm1,314405566,Arakawa Ku,35.7318,139.79445,Entire home/apt,1,8,2020-04-15,1.69,111,5811
8,花川戸(竹)池袋から600米高端民宿(空港送迎ｻｰﾋﾞｽあり),256531617,Toshima Ku,35.73665,139.70821,Entire home/apt,1,7,2020-02-02,0.93,134,19938
9,"东京精品民宿5,近新宿､渋谷､池袋､銀座､秋葉原､上野",114995297,Toshima Ku,35.73698,139.73243,Private room,1,12,2020-04-27,0.88,89,10216
10,【2/F】Asakusabashi Building | for 6-9 ppl,260891041,Taito Ku,35.7002,139.78538,Entire home/apt,2,74,2020-01-26,1.48,0,24826
11,"1 min > OmoriCoast Station Superior Twin, Non Smok",30451776,Ota Ku,35.5862,139.73523,Private room,1,0,,,179,18076
12,Free Parking/Sangen-jaya Sta♪5min￫Shibuya/3Bdrms!,292765051,Setagaya Ku,35.64614,139.67185,Entire home/apt,2,50,2020-03-26,4.75,126,22016
13,✣新築ｵｰﾌﾟﾝ✣HOYOｽﾃｲ西巣鴨/駅徒歩5分/ｾﾐﾀﾞﾌﾞﾙﾍﾞｯﾄ+PCﾃﾞｽｸ/池袋16分f,43243021,Kita Ku,35.74651,139.72959,Entire home/apt,2,0,,,174,2980
14,"QY52 JR Train station 5-min walk, airport directly",25523994,Taito Ku,35.69971,139.78065,Entire home/apt,1,0,,,0,8208
15,C5【Haneda/Shinagawa】Brand New Studio for 4/WIFI,300847561,Ota Ku,35.57247,139.73346,Entire home/apt,2,46,2020-03-15,3.62,159,12081
16,101-Cozy apt JR Shinkoiwa (Website hidden by Airbnb),52000676,Edogawa Ku,35.71001,139.85726,Entire home/apt,2,1,2020-03-08,0.57,178,5463
17,"Good location,Near Tokyo Stn,Akihabara #305",335070394,Chuo Ku,35.68827,139.77613,Private room,2,96,2020-02-25,2.24,242,3744
18,HOYO東京Akasaka#1001/3min frm Akasaka sta+RoomWiFi,303026256,Minato Ku,35.67301,139.73585,Entire home/apt,2,18,2020-03-20,1.86,244,8155
19,"IR201 Metro station 2-min walk, downtown apartment",226182927,Taito Ku,35.719809999999995,139.78652,Entire home/apt,1,3,2019-10-24,0.38,123,7753
20,R205-5)Women Dormitory Shinjuku*WIFI free *,203690845,Shinjuku Ku,35.69964,139.73243,Shared room,1,7,2019-12-06,0.51,337,3394
21,A Livable Gallery NIBUNNO - Gallery 3 (Tower view),199384799,Minato Ku,35.65803,139.74442,Hotel room,2,26,2020-01-30,1.01,209,19940
